point,lat,lon,zone1,hemisphere,zone2,east,north,psf,grid_conv
WAYPOINT,-36.385247,144.290581,55,South,55,256972.653,5969910.478,1.00032776,-1.608046
WAYPOINT,-36.385374,144.290451,55,South,55,256961.385,5969896.059,1.00032782,-1.608128
WAYPOINT,-36.385395,144.290132,55,South,55,256932.831,5969892.925,1.00032799,-1.608318
WAYPOINT,-36.385388,144.290081,55,South,55,256928.233,5969893.573,1.00032802,-1.608348
WAYPOINT,-36.385401,144.290061,55,South,55,256926.479,5969892.08,1.00032803,-1.608361
WAYPOINT,-36.385404,144.290073,55,South,55,256927.565,5969891.777,1.00032803,-1.608354
WAYPOINT,-36.385384,144.290058,55,South,55,256926.157,5969893.959,1.00032803,-1.608362
WAYPOINT,-36.385395,144.290036,55,South,55,256924.218,5969892.683,1.00032805,-1.608375
WAYPOINT,-36.385396,144.290035,55,South,55,256924.131,5969892.57,1.00032805,-1.608376
WAYPOINT,-36.385393,144.290032,55,South,55,256923.853,5969892.895,1.00032805,-1.608378
WAYPOINT,-36.385395,144.290022,55,South,55,256922.962,5969892.648,1.00032805,-1.608384
WAYPOINT,-36.385378,144.289964,55,South,55,256917.705,5969894.388,1.00032808,-1.608417
WAYPOINT,-36.385377,144.289965,55,South,55,256917.792,5969894.501,1.00032808,-1.608417
WAYPOINT,-36.385375,144.289962,55,South,55,256917.516,5969894.716,1.00032809,-1.608418
WAYPOINT,-36.38538,144.289952,55,South,55,256916.635,5969894.136,1.00032809,-1.608425
WAYPOINT,-36.385383,144.289934,55,South,55,256915.029,5969893.758,1.0003281,-1.608435
WAYPOINT,-36.385388,144.289932,55,South,55,256914.866,5969893.198,1.0003281,-1.608437
WAYPOINT,-36.385388,144.289922,55,South,55,256913.968,5969893.173,1.00032811,-1.608443
WAYPOINT,-36.385388,144.28992,55,South,55,256913.789,5969893.167,1.00032811,-1.608444
WAYPOINT,-36.38538,144.289909,55,South,55,256912.777,5969894.027,1.00032811,-1.60845
WAYPOINT,-36.385376,144.289907,55,South,55,256912.585,5969894.466,1.00032812,-1.608451
WAYPOINT,-36.385372,144.289909,55,South,55,256912.752,5969894.915,1.00032811,-1.60845
WAYPOINT,-36.385377,144.289931,55,South,55,256914.742,5969894.416,1.0003281,-1.608437
WAYPOINT,-36.385383,144.28991,55,South,55,256912.876,5969893.697,1.00032811,-1.60845
WAYPOINT,-36.385383,144.289878,55,South,55,256910.005,5969893.616,1.00032813,-1.608469
WAYPOINT,-36.385381,144.289878,55,South,55,256909.999,5969893.838,1.00032813,-1.608469
WAYPOINT,-36.385376,144.28987,55,South,55,256909.266,5969894.373,1.00032814,-1.608473
WAYPOINT,-36.385378,144.289869,55,South,55,256909.182,5969894.149,1.00032814,-1.608474
WAYPOINT,-36.385392,144.289864,55,South,55,256908.777,5969892.582,1.00032814,-1.608477
WAYPOINT,-36.385394,144.289858,55,South,55,256908.245,5969892.345,1.00032814,-1.608481
WAYPOINT,-36.385391,144.289861,55,South,55,256908.505,5969892.686,1.00032814,-1.608479
WAYPOINT,-36.385386,144.289857,55,South,55,256908.13,5969893.231,1.00032814,-1.608481
WAYPOINT,-36.38539,144.289843,55,South,55,256906.887,5969892.752,1.00032815,-1.60849
WAYPOINT,-36.385382,144.28987,55,South,55,256909.284,5969893.707,1.00032814,-1.608473
WAYPOINT,-36.385382,144.28987,55,South,55,256909.284,5969893.707,1.00032814,-1.608473
WAYPOINT,-36.385375,144.28987,55,South,55,256909.263,5969894.484,1.00032814,-1.608473
WAYPOINT,-36.385373,144.289862,55,South,55,256908.539,5969894.686,1.00032814,-1.608478
WAYPOINT,-36.38537,144.289858,55,South,55,256908.17,5969895.009,1.00032814,-1.60848
WAYPOINT,-36.385371,144.289862,55,South,55,256908.532,5969894.908,1.00032814,-1.608478
WAYPOINT,-36.385375,144.289857,55,South,55,256908.096,5969894.451,1.00032814,-1.608481
WAYPOINT,-36.385373,144.289853,55,South,55,256907.731,5969894.663,1.00032814,-1.608483
WAYPOINT,-36.385369,144.28986,55,South,55,256908.347,5969895.124,1.00032814,-1.608479
WAYPOINT,-36.385375,144.289842,55,South,55,256906.75,5969894.413,1.00032815,-1.60849
WAYPOINT,-36.385371,144.289842,55,South,55,256906.738,5969894.857,1.00032815,-1.60849
WAYPOINT,-36.385368,144.289843,55,South,55,256906.818,5969895.193,1.00032815,-1.608489
WAYPOINT,-36.385374,144.289839,55,South,55,256906.478,5969894.517,1.00032815,-1.608491
WAYPOINT,-36.385372,144.289839,55,South,55,256906.472,5969894.739,1.00032815,-1.608491
WAYPOINT,-36.385375,144.289833,55,South,55,256905.943,5969894.391,1.00032816,-1.608495
WAYPOINT,-36.385389,144.289805,55,South,55,256903.475,5969892.767,1.00032817,-1.608512
WAYPOINT,-36.385388,144.289801,55,South,55,256903.113,5969892.868,1.00032817,-1.608515
WAYPOINT,-36.385383,144.289798,55,South,55,256902.828,5969893.415,1.00032817,-1.608516
WAYPOINT,-36.3854,144.289802,55,South,55,256903.24,5969891.539,1.00032817,-1.608514
WAYPOINT,-36.385376,144.289803,55,South,55,256903.255,5969894.204,1.00032817,-1.608513
WAYPOINT,-36.385377,144.289802,55,South,55,256903.168,5969894.091,1.00032817,-1.608514
WAYPOINT,-36.385367,144.289798,55,South,55,256902.778,5969895.19,1.00032817,-1.608516
WAYPOINT,-36.385358,144.289799,55,South,55,256902.84,5969896.191,1.00032817,-1.608515
WAYPOINT,-36.385354,144.289792,55,South,55,256902.199,5969896.618,1.00032818,-1.608519
WAYPOINT,-36.385356,144.289769,55,South,55,256900.142,5969896.338,1.00032819,-1.608532
WAYPOINT,-36.385358,144.28977,55,South,55,256900.238,5969896.118,1.00032819,-1.608532
WAYPOINT,-36.385359,144.289769,55,South,55,256900.151,5969896.005,1.00032819,-1.608532
WAYPOINT,-36.38536,144.289755,55,South,55,256898.898,5969895.859,1.0003282,-1.608541
WAYPOINT,-36.385357,144.289736,55,South,55,256897.184,5969896.144,1.00032821,-1.608552
WAYPOINT,-36.385355,144.289738,55,South,55,256897.358,5969896.371,1.00032821,-1.608551
WAYPOINT,-36.38535,144.289738,55,South,55,256897.342,5969896.925,1.00032821,-1.608551
WAYPOINT,-36.385355,144.289732,55,South,55,256896.819,5969896.355,1.00032821,-1.608554
WAYPOINT,-36.385354,144.289733,55,South,55,256896.906,5969896.469,1.00032821,-1.608554
WAYPOINT,-36.385358,144.289729,55,South,55,256896.56,5969896.015,1.00032821,-1.608556
WAYPOINT,-36.385365,144.289711,55,South,55,256894.966,5969895.193,1.00032822,-1.608567
WAYPOINT,-36.385363,144.28971,55,South,55,256894.87,5969895.412,1.00032822,-1.608568
WAYPOINT,-36.385365,144.28971,55,South,55,256894.877,5969895.19,1.00032822,-1.608568
WAYPOINT,-36.38538,144.289691,55,South,55,256893.219,5969893.478,1.00032823,-1.60858
WAYPOINT,-36.385396,144.289713,55,South,55,256895.242,5969891.758,1.00032822,-1.608567
WAYPOINT,-36.385403,144.289697,55,South,55,256893.829,5969890.941,1.00032823,-1.608577
WAYPOINT,-36.385402,144.289692,55,South,55,256893.377,5969891.04,1.00032823,-1.60858
WAYPOINT,-36.385399,144.289681,55,South,55,256892.381,5969891.345,1.00032824,-1.608586
WAYPOINT,-36.385389,144.289683,55,South,55,256892.529,5969892.459,1.00032824,-1.608585
WAYPOINT,-36.385393,144.289681,55,South,55,256892.362,5969892.01,1.00032824,-1.608586
WAYPOINT,-36.385397,144.289676,55,South,55,256891.926,5969891.554,1.00032824,-1.608589
WAYPOINT,-36.38539,144.289664,55,South,55,256890.828,5969892.301,1.00032825,-1.608596
WAYPOINT,-36.385382,144.289666,55,South,55,256890.982,5969893.193,1.00032824,-1.608595
WAYPOINT,-36.385383,144.289666,55,South,55,256890.985,5969893.082,1.00032824,-1.608595
WAYPOINT,-36.38538,144.289658,55,South,55,256890.258,5969893.395,1.00032825,-1.608599
WAYPOINT,-36.385386,144.289655,55,South,55,256890.008,5969892.722,1.00032825,-1.608601
WAYPOINT,-36.385392,144.28965,55,South,55,256889.578,5969892.043,1.00032825,-1.608604
WAYPOINT,-36.385395,144.289652,55,South,55,256889.767,5969891.715,1.00032825,-1.608603
WAYPOINT,-36.385384,144.289649,55,South,55,256889.463,5969892.929,1.00032825,-1.608605
WAYPOINT,-36.385376,144.289649,55,South,55,256889.438,5969893.816,1.00032825,-1.608604
WAYPOINT,-36.385372,144.289647,55,South,55,256889.246,5969894.255,1.00032826,-1.608605
WAYPOINT,-36.385369,144.289632,55,South,55,256887.891,5969894.55,1.00032826,-1.608614
WAYPOINT,-36.38537,144.289616,55,South,55,256886.459,5969894.399,1.00032827,-1.608624
WAYPOINT,-36.385367,144.289615,55,South,55,256886.36,5969894.729,1.00032827,-1.608624
WAYPOINT,-36.385368,144.289619,55,South,55,256886.722,5969894.628,1.00032827,-1.608622
WAYPOINT,-36.385381,144.2896,55,South,55,256885.058,5969893.138,1.00032828,-1.608634
WAYPOINT,-36.385384,144.289599,55,South,55,256884.977,5969892.803,1.00032828,-1.608634
WAYPOINT,-36.385376,144.289582,55,South,55,256883.427,5969893.647,1.00032829,-1.608644
WAYPOINT,-36.385374,144.289591,55,South,55,256884.228,5969893.892,1.00032829,-1.608639
WAYPOINT,-36.385374,144.289589,55,South,55,256884.049,5969893.887,1.00032829,-1.60864
WAYPOINT,-36.385367,144.289586,55,South,55,256883.758,5969894.656,1.00032829,-1.608641
WAYPOINT,-36.385362,144.289584,55,South,55,256883.563,5969895.206,1.00032829,-1.608642
WAYPOINT,-36.385362,144.289585,55,South,55,256883.653,5969895.208,1.00032829,-1.608642
WAYPOINT,-36.385357,144.289583,55,South,55,256883.458,5969895.758,1.00032829,-1.608643
WAYPOINT,-36.385372,144.289576,55,South,55,256882.876,5969894.076,1.00032829,-1.608648
WAYPOINT,-36.385379,144.289569,55,South,55,256882.27,5969893.282,1.0003283,-1.608652
WAYPOINT,-36.385369,144.28956,55,South,55,256881.432,5969894.369,1.0003283,-1.608657
WAYPOINT,-36.385363,144.289557,55,South,55,256881.144,5969895.027,1.0003283,-1.608659
WAYPOINT,-36.385361,144.289555,55,South,55,256880.958,5969895.244,1.0003283,-1.60866
WAYPOINT,-36.385362,144.289555,55,South,55,256880.961,5969895.133,1.0003283,-1.60866
WAYPOINT,-36.385364,144.289549,55,South,55,256880.429,5969894.896,1.00032831,-1.608663
WAYPOINT,-36.385362,144.289548,55,South,55,256880.333,5969895.115,1.00032831,-1.608664
WAYPOINT,-36.385345,144.289553,55,South,55,256880.729,5969897.014,1.00032831,-1.60866
WAYPOINT,-36.38534,144.289561,55,South,55,256881.431,5969897.589,1.0003283,-1.608655
WAYPOINT,-36.385331,144.28957,55,South,55,256882.21,5969898.61,1.0003283,-1.60865
WAYPOINT,-36.385339,144.289535,55,South,55,256879.095,5969897.634,1.00032832,-1.608671
WAYPOINT,-36.385346,144.289533,55,South,55,256878.938,5969896.853,1.00032832,-1.608672
WAYPOINT,-36.385365,144.289548,55,South,55,256880.342,5969894.782,1.00032831,-1.608664
WAYPOINT,-36.385371,144.28955,55,South,55,256880.541,5969894.122,1.00032831,-1.608663
WAYPOINT,-36.38538,144.289548,55,South,55,256880.389,5969893.118,1.00032831,-1.608665
WAYPOINT,-36.385383,144.289547,55,South,55,256880.309,5969892.782,1.00032831,-1.608665
WAYPOINT,-36.385383,144.289539,55,South,55,256879.591,5969892.762,1.00032831,-1.60867
WAYPOINT,-36.38538,144.289545,55,South,55,256880.12,5969893.11,1.00032831,-1.608666
WAYPOINT,-36.385375,144.28955,55,South,55,256880.553,5969893.678,1.00032831,-1.608663
WAYPOINT,-36.385374,144.289564,55,South,55,256881.806,5969893.824,1.0003283,-1.608655
WAYPOINT,-36.385365,144.28956,55,South,55,256881.419,5969894.812,1.0003283,-1.608657
WAYPOINT,-36.385366,144.289558,55,South,55,256881.243,5969894.696,1.0003283,-1.608658
WAYPOINT,-36.385369,144.289544,55,South,55,256879.996,5969894.328,1.00032831,-1.608667
WAYPOINT,-36.385374,144.289533,55,South,55,256879.025,5969893.746,1.00032832,-1.608673
WAYPOINT,-36.385376,144.289533,55,South,55,256879.031,5969893.524,1.00032832,-1.608673
WAYPOINT,-36.385397,144.289511,55,South,55,256877.123,5969891.138,1.00032833,-1.608687
WAYPOINT,-36.385399,144.289532,55,South,55,256879.013,5969890.969,1.00032832,-1.608675
WAYPOINT,-36.385397,144.289541,55,South,55,256879.814,5969891.214,1.00032831,-1.608669
WAYPOINT,-36.385394,144.28951,55,South,55,256877.024,5969891.469,1.00032833,-1.608688
WAYPOINT,-36.3854,144.289495,55,South,55,256875.697,5969890.765,1.00032834,-1.608697
WAYPOINT,-36.385393,144.289496,55,South,55,256875.764,5969891.544,1.00032834,-1.608696
WAYPOINT,-36.385383,144.289501,55,South,55,256876.182,5969892.667,1.00032833,-1.608693
WAYPOINT,-36.385378,144.289501,55,South,55,256876.166,5969893.221,1.00032833,-1.608692
WAYPOINT,-36.385351,144.289509,55,South,55,256876.8,5969896.237,1.00032833,-1.608687
WAYPOINT,-36.385332,144.289483,55,South,55,256874.408,5969898.28,1.00032834,-1.608701
WAYPOINT,-36.385337,144.289474,55,South,55,256873.616,5969897.703,1.00032835,-1.608707
WAYPOINT,-36.385343,144.289464,55,South,55,256872.738,5969897.012,1.00032835,-1.608713
WAYPOINT,-36.385342,144.28945,55,South,55,256871.479,5969897.087,1.00032836,-1.608721
WAYPOINT,-36.385347,144.289429,55,South,55,256869.61,5969896.48,1.00032837,-1.608734
WAYPOINT,-36.385356,144.289442,55,South,55,256870.804,5969895.514,1.00032837,-1.608727
WAYPOINT,-36.385364,144.289444,55,South,55,256871.009,5969894.631,1.00032836,-1.608726
WAYPOINT,-36.385368,144.289441,55,South,55,256870.752,5969894.18,1.00032837,-1.608728
WAYPOINT,-36.385383,144.289443,55,South,55,256870.978,5969892.52,1.00032836,-1.608727
WAYPOINT,-36.385395,144.289436,55,South,55,256870.388,5969891.171,1.00032837,-1.608732
WAYPOINT,-36.385404,144.289427,55,South,55,256869.608,5969890.15,1.00032837,-1.608737
WAYPOINT,-36.385405,144.289422,55,South,55,256869.163,5969890.026,1.00032838,-1.60874
WAYPOINT,-36.385406,144.289417,55,South,55,256868.717,5969889.903,1.00032838,-1.608743
WAYPOINT,-36.385383,144.289391,55,South,55,256866.313,5969892.389,1.00032839,-1.608758
WAYPOINT,-36.385371,144.2894,55,South,55,256867.083,5969893.744,1.00032839,-1.608752
WAYPOINT,-36.385371,144.289412,55,South,55,256868.16,5969893.774,1.00032838,-1.608745
WAYPOINT,-36.385384,144.289347,55,South,55,256862.369,5969892.168,1.00032842,-1.608784
WAYPOINT,-36.385385,144.289348,55,South,55,256862.461,5969892.059,1.00032842,-1.608784
WAYPOINT,-36.38536,144.289352,55,South,55,256862.742,5969894.843,1.00032841,-1.60878
WAYPOINT,-36.38538,144.28933,55,South,55,256860.831,5969892.569,1.00032843,-1.608794
WAYPOINT,-36.385374,144.289308,55,South,55,256858.839,5969893.179,1.00032844,-1.608807
WAYPOINT,-36.385372,144.289291,55,South,55,256857.307,5969893.358,1.00032845,-1.608817
WAYPOINT,-36.38538,144.289284,55,South,55,256856.704,5969892.453,1.00032845,-1.608821
